"location","1999_opioid_overdose_death_rate_age_adjusted","2000_opioid_overdose_death_rate_age_adjusted","2001_opioid_overdose_death_rate_age_adjusted","2002_opioid_overdose_death_rate_age_adjusted","2003_opioid_overdose_death_rate_age_adjusted","2004_opioid_overdose_death_rate_age_adjusted","2005_opioid_overdose_death_rate_age_adjusted","2006_opioid_overdose_death_rate_age_adjusted","2007_opioid_overdose_death_rate_age_adjusted","2008_opioid_overdose_death_rate_age_adjusted","2009_opioid_overdose_death_rate_age_adjusted","2010_opioid_overdose_death_rate_age_adjusted","2011_opioid_overdose_death_rate_age_adjusted","2012_opioid_overdose_death_rate_age_adjusted","2013_opioid_overdose_death_rate_age_adjusted","2014_opioid_overdose_death_rate_age_adjusted","2015_opioid_overdose_death_rate_age_adjusted","2016_opioid_overdose_death_rate_age_adjusted","2017_opioid_overdose_death_rate_age_adjusted","1999_all_drug_overdose_death_rate_age_adjusted","2000_all_drug_overdose_death_rate_age_adjusted","2001_all_drug_overdose_death_rate_age_adjusted","2002_all_drug_overdose_death_rate_age_adjusted","2003_all_drug_overdose_death_rate_age_adjusted","2004_all_drug_overdose_death_rate_age_adjusted","2005_all_drug_overdose_death_rate_age_adjusted","2006_all_drug_overdose_death_rate_age_adjusted","2007_all_drug_overdose_death_rate_age_adjusted","2008_all_drug_overdose_death_rate_age_adjusted","2009_all_drug_overdose_death_rate_age_adjusted","2010_all_drug_overdose_death_rate_age_adjusted","2011_all_drug_overdose_death_rate_age_adjusted","2012_all_drug_overdose_death_rate_age_adjusted","2013_all_drug_overdose_death_rate_age_adjusted","2014_all_drug_overdose_death_rate_age_adjusted","2015_all_drug_overdose_death_rate_age_adjusted","2016_all_drug_overdose_death_rate_age_adjusted","2017_all_drug_overdose_death_rate_age_adjusted","1999_percent_change_in_opioid_overdose_death_rate_from_prior_year","2000_percent_change_in_opioid_overdose_death_rate_from_prior_year","2001_percent_change_in_opioid_overdose_death_rate_from_prior_year","2002_percent_change_in_opioid_overdose_death_rate_from_prior_year","2003_percent_change_in_opioid_overdose_death_rate_from_prior_year","2004_percent_change_in_opioid_overdose_death_rate_from_prior_year","2005_percent_change_in_opioid_overdose_death_rate_from_prior_year","2006_percent_change_in_opioid_overdose_death_rate_from_prior_year","2007_percent_change_in_opioid_overdose_death_rate_from_prior_year","2008_percent_change_in_opioid_overdose_death_rate_from_prior_year","2009_percent_change_in_opioid_overdose_death_rate_from_prior_year","2010_percent_change_in_opioid_overdose_death_rate_from_prior_year","2011_percent_change_in_opioid_overdose_death_rate_from_prior_year","2012_percent_change_in_opioid_overdose_death_rate_from_prior_year","2013_percent_change_in_opioid_overdose_death_rate_from_prior_year","2014_percent_change_in_opioid_overdose_death_rate_from_prior_year","2015_percent_change_in_opioid_overdose_death_rate_from_prior_year","2016_percent_change_in_opioid_overdose_death_rate_from_prior_year","2017_percent_change_in_opioid_overdose_death_rate_from_prior_year","1999_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2000_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2001_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2002_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2003_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2004_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2005_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2006_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2007_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2008_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2009_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2010_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2011_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2012_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2013_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2014_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2015_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2016_percent_change_in_all_drug_overdose_death_rate_from_prior_year","2017_percent_change_in_all_drug_overdose_death_rate_from_prior_year","avg_opioid_death_growth_rate","avg_deaths_due_to_opioid","avg_deaths_due_to_all_drugs","avg_opioid_death_rate_2009_2013","avg_opioid_death_rate_2013_2017","percentage_of_opioid_death_rates_amongst_all_drug_death_rates","percentage_increase_in_avg_opioid_death_rate_between_2009_2013_and_2013_2017"
"Pennsylvania",2.7,2.7,2.1,2.9,3.9,3.9,4.2,3.5,4,4.9,5.2,5.1,6.2,6.8,7.8,9,11.2,18.5,21.2,8.1,9.5,7.9,9.1,11.4,12.7,13.2,13.5,13.9,14.9,15.2,15.3,18.3,19,19.4,21.9,26.3,37.9,44.3,0,0,-0.22,0.38,0.34,0,0.08,-0.17,0.14,0.23,0.06,-0.02,0.22,0.097,0.15,0.15,0.244,0.65,0.15,0,0.17,-0.17,0.15,0.25,0.11,0.04,0.02,0.03,0.07,0.02,0.01,0.2,0.038,0.02,0.13,0.201,0.44,0.17,0.130578947368421,6.62105263157895,17.4631578947368,6.22,13.54,37.9144062688366,117.684887459807
"Rhode Island",3.4,5.4,7.4,6.8,9.3,7,10.3,12.2,8,12.5,10.6,10.5,13.3,13.2,18.1,19.8,23.5,26.7,26.9,5.5,7,10.2,9.3,13.7,9.8,14.3,16.4,12.4,17.3,14.8,15.5,17.7,18.2,22.4,23.4,28.2,30.8,31,0,0.59,0.37,-0.08,0.37,-0.25,0.47,0.18,-0.34,0.56,-0.15,-0.01,0.27,-0.008,0.37,0.09,0.187,0.14,0.01,0,0.27,0.46,-0.09,0.47,-0.28,0.46,0.15,-0.24,0.4,-0.14,0.05,0.14,0.028,0.23,0.04,0.205,0.09,0.01,0.145736842105263,12.8894736842105,16.7315789473684,13.14,23,77.0368040264234,75.0380517503805
"South Carolina",1.2,2.2,2,2,2.2,3.1,3.5,4.9,4.5,4.8,5.2,5.9,5.3,5.1,5.4,10.7,11.4,13.1,15.5,3.7,6.5,5.9,5.3,7,8.4,9.9,12.7,12.1,12.5,13.3,14.6,13.3,12.5,13,14.4,15.7,18.1,20.5,0,0.83,-0.09,0,0.1,0.41,0.13,0.4,-0.08,0.07,0.08,0.13,-0.1,-0.038,0.06,0.98,0.065,0.15,0.18,0,0.76,-0.09,-0.1,0.32,0.2,0.18,0.28,-0.05,0.03,0.06,0.1,-0.09,-0.06,0.04,0.11,0.09,0.15,0.13,0.172473684210526,5.68421052631579,11.5473684210526,5.38,11.22,49.2251595259799,108.550185873606
"South Dakota",0,0,0,0,0,2.7,3.1,3.3,2.5,4.2,4.6,4.5,4.5,3.1,4.4,4.1,3.5,5,4,0,2.8,3.2,3.1,3.3,5.8,5.5,5.1,4.1,7.3,6.7,6.3,7.1,5.5,6.9,7.8,8.4,8.4,8.5,0,0,0,0,0,0,0.15,0.06,-0.24,0.68,0.1,-0.02,0,-0.311,0.42,-0.07,-0.146,0.43,-0.2,0,0,0.14,-0.03,0.06,0.76,-0.05,-0.07,-0.2,0.78,-0.08,-0.06,0.13,-0.225,0.25,0.13,0.077,0,0.01,0.0448947368421053,2.81578947368421,5.56842105263158,4.22,4.2,50.5671077504726,-0.47393364928911
"Tennessee",1.6,1.8,2.4,2.9,5,6.4,7.5,7.7,7.8,7.7,8.5,10,10.1,11.4,11.9,13.4,16,18.1,19.3,6.1,6.9,7.3,8.5,11.3,12.8,14.5,16,15.8,14.8,15.2,16.9,17.2,17.6,18.1,19.5,22.2,24.5,26.6,0,0.13,0.33,0.21,0.72,0.28,0.17,0.03,0.01,-0.01,0.1,0.18,0.01,0.129,0.04,0.13,0.194,0.13,0.07,0,0.13,0.06,0.16,0.33,0.13,0.13,0.1,-0.01,-0.06,0.03,0.11,0.02,0.023,0.03,0.08,0.138,0.1,0.09,0.150157894736842,8.92105263157895,15.3578947368421,10.38,15.74,58.0877313228238,51.6377649325626
"Texas",1.7,1.8,2.6,3.4,3.6,3.7,3.9,4.6,4.3,3.9,4.6,4.4,4.6,4.4,4,4.3,4.7,4.9,5.1,5.4,5,6.6,7.5,8.1,8.2,8.5,9.5,9.3,8.5,9.8,9.6,10.1,9.4,9.3,9.7,9.4,10.1,10.5,0,0.06,0.44,0.31,0.06,0.03,0.05,0.18,-0.07,-0.09,0.18,-0.04,0.05,-0.043,-0.09,0.08,0.093,0.04,0.04,0,-0.07,0.32,0.14,0.08,0.01,0.04,0.12,-0.02,-0.09,0.15,-0.02,0.05,-0.069,-0.01,0.04,-0.031,0.07,0.04,0.0673684210526316,3.92105263157895,8.6578947368421,4.4,4.6,45.2887537993921,4.54545454545453
"Utah",7.3,7.6,7.8,9.7,11.8,11.8,14.2,13.9,14.7,14,14.7,12.8,14.6,16.1,15.9,16.8,15.9,16.4,15.5,10.6,10.4,10.4,14,16.1,16.3,19.3,19.1,21.3,19,19.1,16.9,19.5,23.1,22.1,22.4,23.4,22.4,22.3,0,0.04,0.03,0.24,0.22,0,0.2,-0.02,0.06,-0.05,0.05,-0.13,0.14,0.103,-0.01,0.06,-0.054,0.03,-0.05,0,-0.02,0,0.35,0.15,0.01,0.18,-0.01,0.12,-0.11,0.01,-0.12,0.15,0.185,-0.04,0.01,0.045,-0.04,0,0.0452105263157895,13.2368421052632,18.3,14.82,16.1,72.3324705205637,8.63697705802971
"Vermont",0,3.6,5,5.8,7.2,6.1,6.1,9.4,8.8,8.6,6,6.8,9.1,8.6,11.6,11,13.4,18.4,20,4.7,5.8,7.1,7.5,10.2,8,8.5,12.2,10.8,10.9,8.3,9.7,12.9,10.9,15.1,13.9,16.7,22.2,23.2,0,0,0.39,0.16,0.24,-0.15,0,0.54,-0.06,-0.02,-0.3,0.13,0.34,-0.055,0.35,-0.05,0.218,0.37,0.09,0,0.23,0.22,0.06,0.36,-0.22,0.06,0.44,-0.11,0.01,-0.24,0.17,0.33,-0.155,0.39,-0.08,0.201,0.33,0.05,0.115421052631579,8.71052631578947,11.5052631578947,8.42,14.88,75.7090576395242,76.7220902612827
"Virginia",2.7,3.4,4.2,4.7,4.8,5.1,4.7,5.3,6.4,6.2,5.9,4.8,7.1,6.5,7.6,9.1,9.9,13.5,14.8,5,5.6,6.2,6.8,7.2,7.3,7.5,8,8.9,9,8.5,6.8,9.7,8.9,10.2,11.7,12.4,16.7,17.9,0,0.26,0.24,0.12,0.02,0.06,-0.08,0.13,0.21,-0.03,-0.05,-0.19,0.48,-0.085,0.17,0.2,0.088,0.36,0.1,0,0.12,0.11,0.1,0.06,0.01,0.03,0.07,0.11,0.01,-0.06,-0.2,0.43,-0.082,0.15,0.15,0.06,0.35,0.07,0.105421052631579,6.66842105263158,9.17368421052631,6.38,10.98,72.6907630522089,72.1003134796238
"Washington",5.9,5.8,5.3,7.4,7.5,9,9.2,10,9.7,10.1,10.2,8.9,9.9,9.7,8.9,9.2,9.3,9.4,9.6,9.3,9.2,8.1,10.4,11.1,12.7,13,13.6,14.4,14.8,14.3,13.1,14.1,13.7,13.4,13.3,14.7,14.5,15.2,0,-0.02,-0.09,0.4,0.01,0.2,0.02,0.09,-0.03,0.04,0.01,-0.13,0.11,-0.02,-0.08,0.03,0.011,0.01,0.02,0,-0.01,-0.12,0.28,0.07,0.14,0.02,0.05,0.06,0.03,-0.03,-0.08,0.08,-0.028,-0.02,-0.01,0.105,-0.01,0.05,0.0305789473684211,8.68421052631579,12.7842105263158,9.52,9.28,67.9291889666529,-2.52100840336135
"West Virginia",1.8,2.8,7.9,10.1,11.2,14.2,8.2,16.1,19,21,10.3,25.6,31.5,27.1,27.9,31.6,36,43.4,49.6,4.1,6.2,11.5,12.9,15.1,18.8,10.5,20.4,22.4,25.7,12.4,28.9,36.3,32,32.2,35.5,41.5,52,57.8,0,0.56,1.82,0.28,0.11,0.27,-0.42,0.96,0.18,0.11,-0.51,1.49,0.23,-0.14,0.03,0.13,0.139,0.21,0.14,0,0.51,0.85,0.12,0.17,0.25,-0.44,0.94,0.1,0.15,-0.52,1.33,0.26,-0.118,0.01,0.1,0.169,0.25,0.11,0.294157894736842,20.8052631578947,25.0631578947368,24.48,37.7,83.0113397732045,54.0032679738562
"Wisconsin",1.6,2.1,2.6,3.2,3.7,4,4.9,6,6.7,6.6,6.9,7.3,8.3,8.6,10.6,11.1,11.2,15.8,16.9,4,4.6,5,6.2,7,7.9,9.3,10.6,11.1,10.6,10.9,10.9,12.1,12.2,15,15.1,15.5,19.3,21.2,0,0.31,0.24,0.23,0.16,0.08,0.23,0.22,0.12,-0.01,0.05,0.06,0.14,0.036,0.23,0.05,0.009,0.41,0.07,0,0.15,0.09,0.24,0.13,0.13,0.18,0.14,0.05,-0.05,0.03,0,0.11,0.008,0.23,0.01,0.026,0.25,0.1,0.138684210526316,7.26842105263158,10.9736842105263,8.34,13.12,66.2350119904077,57.3141486810551
"Wyoming",0,0,0,0,0,0,0,0,4.6,7.6,5.7,8.5,7.5,7.7,8.6,9.3,7.9,8.7,8.7,4.1,4.6,4.5,6.9,5.9,9.1,4.9,10.6,12.3,14,11,15,15.2,16.8,17.2,19.4,16.4,17.6,12.2,0,0,0,0,0,0,0,0,0,0.65,-0.25,0.49,-0.12,0.027,0.12,0.08,-0.151,0.1,0,0,0.12,-0.02,0.53,-0.14,0.54,-0.46,1.16,0.16,0.14,-0.21,0.36,0.01,0.105,0.02,0.13,-0.155,0.07,-0.31,0.0497894736842105,4.46315789473684,11.4578947368421,7.6,8.64,38.9526871841984,13.6842105263158
